videoId,views/subscribers
pha37bMwWR0,3.8750774261698537
XDUxYxHU3CY,1.6288933091701772
Spfaub0sVk0,15.795732885684037
eiGdsH1g20k,7.185117606703654
xYcL5_iSZJE,13.331351282348367
AOfMnx6fc6A,1.908430895466637
5nyFfZnsyNY,6.015049495259499
tNVBhBNj1oY,4.698856495440221
NjRRDE7gK4E,2.71540984940481
kN1D8p2Fc6U,6.066142070277755
jK0K-2Gz780,7.100569850713795
pMmCvixJS8c,3.2764010340981757
Rw9EiwUn4Yg,5.514850641564815
i0OVzsMhT2I,2.7741947752039318
xiNbVgBilSw,3.6751399862202794
9ZsRQNUQ8Vo,3.739483086527743
lGkqNVrgFWE,2.4935811088695234
8uzXFv9f_qc,2.3329344466781703
qPweDwkDw6w,3.3458883866199325
UMsA3T4xsU8,3.372017968472919
IKZ41mDtayc,2.1216680950523608
QGug_eltOnE,1.7592505294166378
NNqhURzgEOY,1.9233382891978368
I9p-FyeoHo0,1.4930483755466266
7Nn45WvKONM,0.8960769069980875
W21StuboNl8,1.6031811874086253
AExTAC1d1zA,2.2449724213953015
679fwkCUfEE,0.6087025098608732
jpiF8AwkBTo,0.8531106525732611
np0-bHANnEg,1.4477819631886286
6WAxPPRwMcA,1.2786413442922504
QCp_buQwPHY,0.8663785720329451
lVIUzKiZfms,0.8311415204450785
ihB_XI9fvqU,0.2533634871597118
nxzMkpNxau4,0.581835002436658
9ZsRQNUQ8Vo,3.739622829524452
Spfaub0sVk0,15.796785675222536
2LZ0r2VFts4,7.9459757664510375
J4556Pbl70Y,78.70220127858697
gNMnXQL0GDU,13.747281355038556
ARn-f3se_Q8,0.5334310947077044
un0eSCZI0ws,10.867630718177667
EDlycV2GYRg,127.92905665543026
aWZua5HYfnY,16.860320665286356
7-iBeFQUIVs,210.36043732659397
ZDsLYwBIrpA,0.7899783478063164
yHA9lxVhNdo,0.612542498048042
yyM9ZA33IJI,0.31848806089051585
6I3J7Zis-6c,0.2653934803720265
AVPkGuodyVk,0.714768038647888
ZDsLYwBIrpA,0.7899936594410438
D2KfeAvuGJs,0.1775911692184589
G9-mNePe5zE,0.560800188233967
kfrB0-7uXjs,0.560800188233967
rUNUnLIxVI0,123.00302953799546
mdtpZz3Fk1c,15.017278391538824
S-M1_WpmyJA,5.627415047908268
cP4tUqESUMw,26.064977223938428
smtBUVcGAtM,0.8071626786742762
uZ11jKO7Cek,1.7306141682810618
Zv9a4Q0fch0,0.8532907482067124
QfpgUe7jsr0,51.685670314637484
eq8gmDFagRk,278.51637764932565
sLaOUarJibo,14.389626472367018
Lqe6tajM9w8,9.128761915733088
QL1-vAVjDYk,0.8765851644923154
dT_cuB3w_Vc,2.2689379757893424
Z-gylDndHOI,1.420748975222955
sYVkTWzmCWo,5.657623669229809
dlOHKcqSyrA,2.0993289750309594
QmSl2rco3B4,3.918737820272826
Z1nsaa_C2R4,1.6051800439670152
sRHmN6PR3eY,0.7953421843350709
eHrJCFHPqts,0.15796446159606026
rfVRVyxo8hQ,0.8242279372942046
wHvHXqwvr_s,0.8051627643540785
uH7lTCiJCpo,0.4202977853296086
Edls5YYR4cw,1.1115399015062062
7UTnXkNx81M,0.4102084113315862
p0Wg6C0AEt8,0.7514615672608933
NwQEHNJ6gkg,0.2997916846662635
2LQPZCapjHs,0.6916933060699441
Rb0QdmUa-s0,0.27673300118077354
dRau-Dj3i0U,0.1274563449778725
-p-KB_G0SCk,0.17330491796983746
xRNFPRZ3GCg,0.676813639374478
zjUcINVLZ_U,0.41759064596953027
D9vsHdCCGuQ,0.42493448146761514
CjNs4IOoZO4,0.4621528477762098
FzWOEaFArKk,0.1076711881653851
uoHbIXAq-Hs,0.09145715135980954
GygdLI6EEUc,0.7537367162975549
MbYpyHlm-Yg,0.5428774395453542
991kcSdUge8,0.15800286073591951
bZl8EGqXmgw,0.14099204177826416
aSMxY_O0NTA,187.8355722879013
BrI2oW5pVLE,3.331453259797452
rRSBpIZiid4,64.13944223107569
6mc7cU5mN80,71.05931629717381
xjMk6UrkJ9g,1.6970912910947697
MxhA4VWmvD8,0.14952985344515818
EiBe_-FwYZ8,51.52074267478967
8uN4r87e618,59.342109080359734
TQfGgJulCAc,179.48855721393033
GGmrutEnsnY,3.0954047824834343
OnJJHosJVBM,2.1350547392682224
LUacBgCstYY,3.2823681936041487
sZKjENdfNIU,0.13849755113800058
NUOge00GT9g,4.627326418899453
tRLConvNTYg,31.125315839859383
dyqmCzbemys,31.125315839859383
a70Y6VVvgrI,159.74000771109112
_pHImgDOWuY,12.532041234071588
0NiGayoNKnk,0.3193243218322976
CNefVOt2quA,0.564128570638243
f0mRHgjd3_o,1.308628542976746
5hqJrFvYpdE,0.13744075829383887
wwXa9v0zztA,0.26735758939273796
ilzENSn3L_s,0.02589116122964575
BZ0tmcR4974,0.19149132351042839
Ey2dZ2bao2w,0.13688752835303447
eqKaPXvwb2E,192.16383871556286
okin5POLNaA,149.74971406786122
Yy_A2L-Z0Hs,260.55760508013304
yBNd9etHb74,0.399576331861739
FKQAR8S7a-8,143.80392156862746
2ZTxgXa5_ZI,143.80392156862746
7DGyFX0YHdU,63.07793371155569
8R-7JLYWWlM,51.67034935801732
IhOFcMaLUFM,177.45535714285714
EPIBoE0sfyM,186.06759392757186
0sGQYeKu19Q,6.478551770899808
ky9SatRoyCY,19.307853382259093
ib3r6mPD3aY,18.436891751754946
zyG7EqG_5-A,400.4186746987952
wZywsWFpM0s,138.33469996272828
LHhYxKaYcdU,55.6328125
McSpmnIRA2M,133.5648128342246
9azxsHKau8k,19.41633952254642
yvoz3xUngrU,33.07195242814668
GXYTOMriw50,68.82589285714286
X610M7Wse6I,306.76969696969695
3w0YrNV0CfI,231.4558823529412
