videoId,comments/views
kphFJg2S-Oo,0.24615384615384617
AT-7SNy4b7g,0.17847025495750707
sYFgJ-zXjFo,0.16930455635491606
Kgdc6L2yfPA,0.16470588235294117
pkJ63As3s2w,0.15375212978739167
YABFoVfZU8o,0.15298507462686567
PgE1kzcTrYs,0.15065502183406113
bq3813J__0U,0.13266998341625208
MzVfv2A5btg,0.125
9AQ6JvCRIr8,0.12096774193548387
LTpvl2lCEKw,0.10433763188745604
nkmvDdyJ_fM,0.1024390243902439
47AHwaWYOYI,0.10020040080160321
_8CVEFPHhkg,0.099601593625498
g4T_YqY1aw0,0.09848484848484848
__0r5MqNqhs,0.09711025300304449
-rxxqXL2HCY,0.09468547283223235
vxU9RH0RURg,0.09464857236460775
d_bM0NH5XF4,0.08963213762811127
lR5uPd3ovgk,0.0853413654618474
aPJwbk1gWwk,0.07596556537924616
