videoId,likes/dislikes
UyWEnGNV2iI,-2
mLCdedZ-mB8,-2
BZ0tmcR4974,-2
IYTxT84uIY8,-2
y4V_HhVPa5E,-2
TfUuzvsNfGI,25.524752475247524
8qlJ4-is4d4,36.4078947368421
Ey2dZ2bao2w,-2
ZtlAxPtQW8w,-2
2B37T5N8y7I,23.98
gAG6cdUyJMw,27.914893617021278
gG7pLrEz9yw,-2
Zv9a4Q0fch0,-2
i_EYVKsurto,-2
95dehdEa20M,-2
Yr45cJlUCZU,-2
e3HoTYBr_Xk,8.020979020979022
biK4Zn0paW4,-2
IuPW9FCz_hw,-2
6V6nRr9YTA4,-2
rFsrdOHBcBU,38.666666666666664
ajGCmKP7oV8,-2
YV-n3VoW5Sg,21.749699157641395
vpjRHmZzrz4,28.72952380952381
CCwTfu99hJQ,22.867924528301888
O2gxB-Sutwc,65.61603375527426
Pe1Xjk_bU_o,8.436855670103093
KLvBbtjZ0kM,25.388198757763973
dTWc3gsqgh8,34.767932489451475
DZvl9T6nw9o,14.904509283819628
an9fP8Xy2QE,18.558441558441558
FWIZNVgKplA,31.878962536023053
e893McDMBUw,33.54884547069272
ER9dRNE7cy4,24.236842105263158
RLV_yaYyQLk,20.892307692307693
Zsda3ZMpo2g,18.004587155963304
sjro931UJ_s,19.306306306306308
AdZCGKTUsmc,12.295309168443497
KAybdSF7Tes,39.91935483870968
PQgcz3dERBE,13.35625
JiSUa6IJvVM,42.78823529411765
xmMZUihhJuA,23.529644268774703
6fbYGoF5kuk,28.512048192771083
u1380qlsOxY,20.838068181818183
OaUF-OQZj2c,34.743961352657
Mxb3_clOKmY,69.26589595375722
BklL7rvW3Jc,29.873417721518987
ZDqcRtzveME,27.863849765258216
XX1k2GoepP4,45.73134328358209
GGFrfU9pagk,11.58578856152513
5-hvc4FxFD4,22.530042918454935
c3YOBzubIXk,32.957142857142856
ejLB6s5HvyI,51.518957345971565
SXm83naB7A4,9.971354166666666
LYqBjx7Qkec,11.614840989399294
Fm8Ah1s_XtQ,41.361111111111114
aNiRI7cIay8,16.085470085470085
qMnfMdYRpoU,9.63575042158516
K9dj8JYUZtk,15.326848249027238
Ajl5vAzMjH4,19.088541666666668
YWTmZwImH9o,29.853658536585368
zg5yfG6QGNE,8.159010600706713
bC59f3kX6-0,40.00934579439252
VFL2OFDxrVc,20.457264957264957
UyuTxXK5Bn8,28.01492537313433
cthwYXeKwyg,35.83116883116883
lh5Jttawd1E,62.342465753424655
QlOZR9yRTnA,31.56338028169014
DTDaJKniGes,34.21559633027523
8AsEtxuUlDo,23.59375
SuIYw5jybmg,37.63934426229508
WJwwjN6BYrU,9.984415584415585
bAb_oqmqyVA,11.161904761904761
E_3v5vVqLjM,26.689873417721518
JitL6exvNd0,34.76158940397351
S07SqzxJpJg,-2
fvzzV4YUMko,11.347949080622348
VT5SWbMeGZY,-2
