videoId,likes/view
pha37bMwWR0,0.023443107344366273
XDUxYxHU3CY,0.02474629464390754
Spfaub0sVk0,0.015828230417770334
eiGdsH1g20k,0.009423180646078545
xYcL5_iSZJE,0.014219305326722477
AOfMnx6fc6A,0.026567036674578673
2LZ0r2VFts4,0.012738973962052542
5nyFfZnsyNY,0.009458849378363925
J4556Pbl70Y,0.02027344170343973
tNVBhBNj1oY,0.012398166322463128
un0eSCZI0ws,0.00401906423262013
NjRRDE7gK4E,0.014345459697671464
kN1D8p2Fc6U,0.009780036893475291
jK0K-2Gz780,0.011319212675724529
EDlycV2GYRg,0.011502344340825183
pMmCvixJS8c,0.011562570776306246
Rw9EiwUn4Yg,0.012511301157785974
i0OVzsMhT2I,0.018062243986522713
7-iBeFQUIVs,0.012039305012659722
ZDsLYwBIrpA,0.02311602886659005
xiNbVgBilSw,0.011795577969843712
kfrB0-7uXjs,0.008498659041258903
yHA9lxVhNdo,0.014685920837304656
aWZua5HYfnY,0.018991529775690272
rUNUnLIxVI0,0.01261455414960541
mdtpZz3Fk1c,0.01354531666753831
QfpgUe7jsr0,0.010282613054154434
9ZsRQNUQ8Vo,0.01089126817451699
lGkqNVrgFWE,0.010216857726576245
8uzXFv9f_qc,0.009922185479003627
eq8gmDFagRk,0.007654790729851263
qPweDwkDw6w,0.00787307772558352
sLaOUarJibo,0.015394078400056573
aSMxY_O0NTA,0.011535342735815956
UMsA3T4xsU8,0.010528353374974623
rRSBpIZiid4,0.01406143238710479
6mc7cU5mN80,0.011787625077550165
IKZ41mDtayc,0.012926430399580467
QGug_eltOnE,0.007922545537543608
NNqhURzgEOY,0.007476720034948688
I9p-FyeoHo0,0.011363196567681581
7Nn45WvKONM,0.011588318900850157
W21StuboNl8,0.009433427928743028
xjMk6UrkJ9g,0.013483687655385865
EiBe_-FwYZ8,0.012517455741249605
TQfGgJulCAc,0.011459869391194439
AExTAC1d1zA,0.008623322907164903
GGmrutEnsnY,0.006722262812786493
tRLConvNTYg,0.01143462779222639
8uN4r87e618,0.010532761189378265
679fwkCUfEE,0.013481488441567059
jpiF8AwkBTo,0.012484703844661214
np0-bHANnEg,0.007673305583560774
dyqmCzbemys,0.008398268398268398
Lqe6tajM9w8,0.01501155705863919
a70Y6VVvgrI,0.010057629630463973
6WAxPPRwMcA,0.009682099183874112
_pHImgDOWuY,0.017356436007798993
eqKaPXvwb2E,0.013414668882031806
okin5POLNaA,0.017920357643392774
Yy_A2L-Z0Hs,0.009720726408437628
yBNd9etHb74,0.029597999581017415
QCp_buQwPHY,0.006575004976681906
QL1-vAVjDYk,0.020051909366683825
gNMnXQL0GDU,0.013968957871396896
FKQAR8S7a-8,0.011546797181117506
OnJJHosJVBM,0.007617286990901762
2ZTxgXa5_ZI,0.013981033771880506
ARn-f3se_Q8,0.025637065637065637
7DGyFX0YHdU,0.014182382791789745
IhOFcMaLUFM,0.016251572327044026
EPIBoE0sfyM,0.012761158892085091
8R-7JLYWWlM,0.020671043202884817
dT_cuB3w_Vc,0.012176701797734744
0sGQYeKu19Q,0.008028061275532112
zyG7EqG_5-A,0.006085497859920716
wZywsWFpM0s,0.016658942966762944
LHhYxKaYcdU,0.008144923465805365
Z-gylDndHOI,0.013506939282963284
lVIUzKiZfms,0.007286862896094365
ihB_XI9fvqU,0.0183606122453729
McSpmnIRA2M,0.007783278922448273
9azxsHKau8k,0.007601134432428593
sYVkTWzmCWo,0.012495142945860602
yvoz3xUngrU,0.010374712313003452
GXYTOMriw50,0.017491513697001145
nxzMkpNxau4,0.006613463048820653
X610M7Wse6I,0.013256415828674161
3w0YrNV0CfI,0.007116081072495076
mYIMXl7OIBw,0.012143441116686544
SC_2Rd0rDG8,0.008161139086646988
dlOHKcqSyrA,0.013617760706038366
S-M1_WpmyJA,0.017398909544278827
QmSl2rco3B4,0.01319660665685148
MxhA4VWmvD8,0.009904696092827733
M6PQdne_YvU,0.007712104765573024
cP4tUqESUMw,0.009003344615971796
Z1nsaa_C2R4,0.015082829974283835
_bKzQHy_OBA,0.0136509172724126
PxSIgVL05FQ,0.013085311096856959
9q1WYR5MYpE,0.019380684278908617
BrI2oW5pVLE,0.010908726981585268
smtBUVcGAtM,0.027503892060197196
sRHmN6PR3eY,0.014387447193723597
eHrJCFHPqts,0.011242783348526283
qTcbmj9BzZ8,0.016131109160081942
d7odXAOfxTk,0.03982399322747989
QH2qtiasMDE,0.012373248262504272
0pUm1Ke6FqE,0.008853337475245603
rfVRVyxo8hQ,0.014500518291617652
LUacBgCstYY,0.006449078828413689
wHvHXqwvr_s,0.011887019660677452
uH7lTCiJCpo,0.011077611803937692
bnJUTEJylgU,0.022758363387638352
Edls5YYR4cw,0.009664213908177012
v0zSlVEAPbE,0.022070586236674832
t7BbVQR3jqQ,0.01506466343546021
