videoId,likeCount,commentCount,dislikeCount,viewCount,likes/view,dislikes/view,comments/views,likes/dislikes,views/subscribers
pha37bMwWR0,308137,13914,15903,13144034,0.023443107344366273,0.0012099025306842634,0.0010585791241866842,19.376029679934604,3.8750774261698537
XDUxYxHU3CY,136726,6866,9735,5525110,0.02474629464390754,0.001761955870561853,0.0012426901907835318,14.044786851566512,1.6288933091701772
Spfaub0sVk0,848048,30056,19683,53578194,0.015828230417770334,0.0003673696056272445,0.0005609744889870682,43.085302037291065,15.795732885684037
eiGdsH1g20k,229657,12507,8351,24371495,0.009423180646078545,0.0003426544001506678,0.0005131814851735603,27.50053885762184,7.185117606703654
xYcL5_iSZJE,642985,31302,18961,45219157,0.014219305326722477,0.00041931343390589964,0.0006922287383641407,33.9109224197036,13.331351282348367
AOfMnx6fc6A,171976,8684,8969,6473285,0.026567036674578673,0.0013855407262309632,0.001341513620982237,19.17448990968893,1.908430895466637
2LZ0r2VFts4,100365,3748,4466,7878578,0.012738973962052542,0.0005668535616452614,0.0004757203647663322,22.473130317957903,6.015049495259499
5nyFfZnsyNY,192986,8974,4626,20402693,0.009458849378363925,0.00022673477466920666,0.0004398438970777044,41.71768266320795,4.698856495440221
J4556Pbl70Y,96838,3134,2689,4776594,0.02027344170343973,0.0005629534350208538,0.0006561160525680014,36.01264410561547,2.71540984940481
tNVBhBNj1oY,197605,6879,4669,15938244,0.012398166322463128,0.00029294318746782896,0.00043160338115039523,42.32276718783466,6.066142070277755
un0eSCZI0ws,72602,1787,4254,18064404,0.00401906423262013,0.0002354907474389966,9.892382832004865e-05,17.066760695815702,7.100569850713795
NjRRDE7gK4E,132129,7018,10451,9210510,0.014345459697671464,0.001134682010008132,0.0007619556354642686,12.642713615921922,3.2764010340981757
kN1D8p2Fc6U,201234,7635,17917,20575996,0.009780036893475291,0.0008707719422184957,0.0003710634469407945,11.231456158955183,5.514850641564815
jK0K-2Gz780,272620,10615,11402,24084714,0.011319212675724529,0.00047341230624536374,0.00044073597884533735,23.909840378880897,2.7741947752039318
EDlycV2GYRg,85995,2719,3394,7476302,0.011502344340825183,0.0004539677503664245,0.00036368247296591285,25.337360047142017,3.6751399862202794
pMmCvixJS8c,128499,5619,3661,11113359,0.011562570776306246,0.0003294233543611792,0.0005056077105040879,35.09942638623327,3.739483086527743
Rw9EiwUn4Yg,234037,8333,4397,18706048,0.012511301157785974,0.0002350576669107232,0.0004454708979684004,53.226518080509436,2.4935811088695234
i0OVzsMhT2I,169964,7979,7009,9409905,0.018062243986522713,0.0007448534283821144,0.000847936296912668,24.249393636752746,2.3329344466781703
