videoId,comments/views
pha37bMwWR0,0.0
XDUxYxHU3CY,0.0
Spfaub0sVk0,0.0
eiGdsH1g20k,0.0
xYcL5_iSZJE,0.0
AOfMnx6fc6A,0.0
2LZ0r2VFts4,0.0
5nyFfZnsyNY,0.0
J4556Pbl70Y,0.0
tNVBhBNj1oY,0.0
un0eSCZI0ws,0.0
NjRRDE7gK4E,0.0
kN1D8p2Fc6U,0.0
jK0K-2Gz780,0.0
EDlycV2GYRg,0.0
pMmCvixJS8c,0.0
Rw9EiwUn4Yg,0.0
i0OVzsMhT2I,0.0
7-iBeFQUIVs,0.0
ZDsLYwBIrpA,0.0
xiNbVgBilSw,0.0
kfrB0-7uXjs,0.0
yHA9lxVhNdo,0.0
aWZua5HYfnY,0.0
rUNUnLIxVI0,0.0
mdtpZz3Fk1c,0.0
QfpgUe7jsr0,0.0
9ZsRQNUQ8Vo,0.0
lGkqNVrgFWE,0.0
8uzXFv9f_qc,0.0
eq8gmDFagRk,0.0
qPweDwkDw6w,0.0
sLaOUarJibo,0.0
aSMxY_O0NTA,0.0
UMsA3T4xsU8,0.0
rRSBpIZiid4,0.0
6mc7cU5mN80,0.0
IKZ41mDtayc,0.0
QGug_eltOnE,0.0
NNqhURzgEOY,0.0
I9p-FyeoHo0,0.0
7Nn45WvKONM,0.0
W21StuboNl8,0.0
xjMk6UrkJ9g,0.0
EiBe_-FwYZ8,0.0
TQfGgJulCAc,0.0
AExTAC1d1zA,0.0
GGmrutEnsnY,0.0
tRLConvNTYg,0.0
8uN4r87e618,0.0
679fwkCUfEE,0.0
jpiF8AwkBTo,0.0
np0-bHANnEg,0.0
dyqmCzbemys,0.0
Lqe6tajM9w8,0.0
a70Y6VVvgrI,0.0
6WAxPPRwMcA,0.0
_pHImgDOWuY,0.0
eqKaPXvwb2E,0.0
okin5POLNaA,0.0
Yy_A2L-Z0Hs,0.0
yBNd9etHb74,0.0
QCp_buQwPHY,0.0
QL1-vAVjDYk,0.0
gNMnXQL0GDU,0.0
FKQAR8S7a-8,0.0
OnJJHosJVBM,0.0
2ZTxgXa5_ZI,0.0
ARn-f3se_Q8,0.0
7DGyFX0YHdU,0.0
IhOFcMaLUFM,0.0
EPIBoE0sfyM,0.0
8R-7JLYWWlM,0.0
dT_cuB3w_Vc,0.0
0sGQYeKu19Q,0.0
zyG7EqG_5-A,0.0
wZywsWFpM0s,0.0
LHhYxKaYcdU,0.0
Z-gylDndHOI,0.0
lVIUzKiZfms,0.0
ihB_XI9fvqU,0.0
McSpmnIRA2M,0.0
9azxsHKau8k,0.0
sYVkTWzmCWo,0.0
yvoz3xUngrU,0.0
GXYTOMriw50,0.0
nxzMkpNxau4,0.0
X610M7Wse6I,0.0
3w0YrNV0CfI,0.0
mYIMXl7OIBw,0.0
SC_2Rd0rDG8,0.0
dlOHKcqSyrA,0.0
S-M1_WpmyJA,0.0
QmSl2rco3B4,0.0
MxhA4VWmvD8,0.0
M6PQdne_YvU,0.0
cP4tUqESUMw,0.0
Z1nsaa_C2R4,0.0
_bKzQHy_OBA,0.0
PxSIgVL05FQ,0.0
9q1WYR5MYpE,0.0
BrI2oW5pVLE,0.0
smtBUVcGAtM,0.0
sRHmN6PR3eY,0.0
eHrJCFHPqts,0.0
