videoId,channelId
S-M1_WpmyJA,UClYOz7KQYIMj3xoP-kVrC8Q
QmSl2rco3B4,UCvR2R7j218tzejtTsb_X6Rw
MxhA4VWmvD8,UCr_pADpnsYU0vstpsKhroCA
M6PQdne_YvU,UCw4lqA46BhcOyYX28GqM-DQ
cP4tUqESUMw,UClYOz7KQYIMj3xoP-kVrC8Q
Z1nsaa_C2R4,UCvR2R7j218tzejtTsb_X6Rw
_bKzQHy_OBA,UConjPqhmYbuRXFI6CGPA-kA
PxSIgVL05FQ,UCAidHQPpX3q9h1NqeOMZcPg
9q1WYR5MYpE,UCbM4Ll4qyltM7AXslxynO9g
BrI2oW5pVLE,UC4jsjCJGUMgiXI5y3vPj53Q
smtBUVcGAtM,UClYOz7KQYIMj3xoP-kVrC8Q
sRHmN6PR3eY,UCvR2R7j218tzejtTsb_X6Rw
eHrJCFHPqts,UCvR2R7j218tzejtTsb_X6Rw
qTcbmj9BzZ8,UCpddPzo3bczhk1YgzXM4vYg
d7odXAOfxTk,UC3x52ZR6xG291mOWZkEsO8Q
QH2qtiasMDE,UCLDzdONl0ZXmHYRlTe8Rk8g
0pUm1Ke6FqE,UCclNV4noffcvEXmH7oFBexg
rfVRVyxo8hQ,UCvR2R7j218tzejtTsb_X6Rw
LUacBgCstYY,UCPST2CubwLkYVAuL_LzuUtg
wHvHXqwvr_s,UCvR2R7j218tzejtTsb_X6Rw
uH7lTCiJCpo,UCvR2R7j218tzejtTsb_X6Rw
bnJUTEJylgU,UCnUI5BTKz3CTK3vU2vGaWyA
Edls5YYR4cw,UCvR2R7j218tzejtTsb_X6Rw
v0zSlVEAPbE,UCu01aTxtgzQ8PXaAqpZ0FNQ
t7BbVQR3jqQ,UC-NsAFV27hPAZ_zZF_KTlgw
Da4FR1dzpt0,UCEZR6ojr_R8PgeYpIgWpXrA
atWVho72opo,UCJbiEffgJa2S2i_Wx6aYlug
7UTnXkNx81M,UCvR2R7j218tzejtTsb_X6Rw
zZ_9GBxsr4Q,UCOABqiOhnA1uWAFZNzBLHwg
p0Wg6C0AEt8,UCvR2R7j218tzejtTsb_X6Rw
-Y1z3W-8Jg8,UCDZ4wPaHNUsU7je-uSuieMQ
XiUbeMuz_-A,UChPP1I0iQahPKTn9OV2XjiQ
NwQEHNJ6gkg,UCvR2R7j218tzejtTsb_X6Rw
2LQPZCapjHs,UCvR2R7j218tzejtTsb_X6Rw
Rb0QdmUa-s0,UCvR2R7j218tzejtTsb_X6Rw
2Zhoef3GdMU,UCYIcaSW4mZk6sWNZnor-Raw
dRau-Dj3i0U,UCvR2R7j218tzejtTsb_X6Rw
-p-KB_G0SCk,UCvR2R7j218tzejtTsb_X6Rw
nWpEy_1oDF0,UCfGyeNB380ziFsQvqS5l9qg
HRUAgPVj_xc,UCu5uxhRmjPp83FjTSSlCBOw
ky9SatRoyCY,UC6bdn2tN7CPZCDLCXqfc15Q
0NiGayoNKnk,UCaeicBEBBbaF4QQ_OgJ5cvw
7FIqt_wB_4M,UCJQAprAqTwSCuCSNq2rjVug
Q5LSM6wY2VA,UConjPqhmYbuRXFI6CGPA-kA
xRNFPRZ3GCg,UCvR2R7j218tzejtTsb_X6Rw
A_FR9CbIv8g,UCbM4Ll4qyltM7AXslxynO9g
7Gasxo-TMkM,UCpddPzo3bczhk1YgzXM4vYg
zjUcINVLZ_U,UCvR2R7j218tzejtTsb_X6Rw
D9vsHdCCGuQ,UCvR2R7j218tzejtTsb_X6Rw
CNefVOt2quA,UCaeicBEBBbaF4QQ_OgJ5cvw
qywFe60_oko,UCbM4Ll4qyltM7AXslxynO9g
CjNs4IOoZO4,UCvR2R7j218tzejtTsb_X6Rw
f0mRHgjd3_o,UCaeicBEBBbaF4QQ_OgJ5cvw
wfoUi2nsKWs,UC2WpnHviqHIlj_OtR6TKWpA
8s4kTm788pY,UCiGCI1W2Ca8zu1Uep1bNJvA
74jE8tX6PZk,UCscJcc3gxyf--xN06OIocxA
JQDckU2xDkU,UCit0XiQJwDrXHU-gKuxEVWQ
uZABN17FZ6w,UCiaDHzkj9xSa7suhdp4JYLA
BB7g8wSd6kk,UCHCX0VA3ixpwng6yh5aKhhw
TqAsQg-ts70,UCMWsT--7z1Ju9d04TgrvZ1Q
FzWOEaFArKk,UCvR2R7j218tzejtTsb_X6Rw
uoHbIXAq-Hs,UCvR2R7j218tzejtTsb_X6Rw
GygdLI6EEUc,UCvR2R7j218tzejtTsb_X6Rw
5hqJrFvYpdE,UCaeicBEBBbaF4QQ_OgJ5cvw
ib3r6mPD3aY,UC6bdn2tN7CPZCDLCXqfc15Q
sZKjENdfNIU,UCPST2CubwLkYVAuL_LzuUtg
t3HzM0xU5P4,UCjwLb9d2lIee1wv7DfqNfug
k1EerYqtp1c,UCebIrRA1gzpBnUljNPN5cKw
MbYpyHlm-Yg,UCvR2R7j218tzejtTsb_X6Rw
M7syCjAGK_w,UCuedcqsps2TH9it6avu1hOA
VEd-fWQbiIE,UCHyqYOSd8018tu55LqTCBYw
0hq72EDHeKU,UCnDudTtzgT4Y_xFE5L5V1nA
MuqshhMXR_E,UCuedcqsps2TH9it6avu1hOA
wwXa9v0zztA,UCaeicBEBBbaF4QQ_OgJ5cvw
991kcSdUge8,UCvR2R7j218tzejtTsb_X6Rw
cFsieoC9ll8,UCuedcqsps2TH9it6avu1hOA
uZ11jKO7Cek,UClYOz7KQYIMj3xoP-kVrC8Q
fXRLVoMYI-s,UCba6EV8HykTpA-ABfdkuajg
smpfb6jjcK8,UC5lx9H0llqpPKH8HKjoBLqw
VxWBvIdVs0s,UCB2BWX6KT3jZ82D3raDTJMw
cIP7_2GD3Vw,UCVZGcNqv-dWjmH8IFHGytzg
a6uCQ2MwnXM,UCbM4Ll4qyltM7AXslxynO9g
ZXgc4xeq20o,UCuedcqsps2TH9it6avu1hOA
e9VOMZVWOYI,UCtZ8faHa5sSpOXi3Sben_Fw
ZAWDGVFnZaY,UCyHpRvLuO5thUZ6OKw-9EAA
ilzENSn3L_s,UCaeicBEBBbaF4QQ_OgJ5cvw
WBtiGBxd1mo,UCZEtaxrqJ7uJ2zleEXlAIlA
bZl8EGqXmgw,UCvR2R7j218tzejtTsb_X6Rw
ao00Mt0UK-I,UC7NikUiib0o8nZp08cGoagw
UyWEnGNV2iI,UCwOSyp0Ccxu9qRqVurYH_LA
mLCdedZ-mB8,UC1WmkUvLtLu--gKghJZppXQ
BZ0tmcR4974,UCaeicBEBBbaF4QQ_OgJ5cvw
IYTxT84uIY8,UCE1ZeHi4cWIVbo3ggSZlqww
y4V_HhVPa5E,UCaz_iQCEpTluyEuZLeU9BDg
TfUuzvsNfGI,UCYGRoXZ0nkBItFfDqiiQg7Q
8qlJ4-is4d4,UCBEznjiCksfJhy8tVJchb0g
Ey2dZ2bao2w,UCaeicBEBBbaF4QQ_OgJ5cvw
ZtlAxPtQW8w,UCjmtRJLdAcBWJQQieQYwouQ
2B37T5N8y7I,UC61j9EIAwfXSFsputVWcIAQ
gAG6cdUyJMw,UCTZ1sQnzGwib3IrTw5iRObA
gG7pLrEz9yw,UC_3_EKXbGT-5giE3ZK85Kcw
Zv9a4Q0fch0,UClYOz7KQYIMj3xoP-kVrC8Q
i_EYVKsurto,UCAy9mqO_GC5B3CjQOBvDwaw
95dehdEa20M,UChF7az2XN1Pk34nSWo4KJeg
Yr45cJlUCZU,UCuedcqsps2TH9it6avu1hOA
e3HoTYBr_Xk,UC3x52ZR6xG291mOWZkEsO8Q
biK4Zn0paW4,UCukETgFRf7yIPVxCnF4ONTw
IuPW9FCz_hw,UCha5Sgr3mlcLi0zE8PPg6Ew
6V6nRr9YTA4,UCZCaRGGPtHFtp7X3FxtNKhA
rFsrdOHBcBU,UCZCaRGGPtHFtp7X3FxtNKhA
ajGCmKP7oV8,UCZCaRGGPtHFtp7X3FxtNKhA
YV-n3VoW5Sg,UCZCaRGGPtHFtp7X3FxtNKhA
vpjRHmZzrz4,UCZCaRGGPtHFtp7X3FxtNKhA
CCwTfu99hJQ,UCZCaRGGPtHFtp7X3FxtNKhA
O2gxB-Sutwc,UCZCaRGGPtHFtp7X3FxtNKhA
Pe1Xjk_bU_o,UCZCaRGGPtHFtp7X3FxtNKhA
KLvBbtjZ0kM,UCZCaRGGPtHFtp7X3FxtNKhA
dTWc3gsqgh8,UCZCaRGGPtHFtp7X3FxtNKhA
DZvl9T6nw9o,UCZCaRGGPtHFtp7X3FxtNKhA
an9fP8Xy2QE,UCZCaRGGPtHFtp7X3FxtNKhA
FWIZNVgKplA,UCZCaRGGPtHFtp7X3FxtNKhA
e893McDMBUw,UCZCaRGGPtHFtp7X3FxtNKhA
ER9dRNE7cy4,UCZCaRGGPtHFtp7X3FxtNKhA
RLV_yaYyQLk,UCZCaRGGPtHFtp7X3FxtNKhA
Zsda3ZMpo2g,UCZCaRGGPtHFtp7X3FxtNKhA
sjro931UJ_s,UCZCaRGGPtHFtp7X3FxtNKhA
AdZCGKTUsmc,UCZCaRGGPtHFtp7X3FxtNKhA
KAybdSF7Tes,UCZCaRGGPtHFtp7X3FxtNKhA
PQgcz3dERBE,UCZCaRGGPtHFtp7X3FxtNKhA
JiSUa6IJvVM,UCZCaRGGPtHFtp7X3FxtNKhA
xmMZUihhJuA,UCZCaRGGPtHFtp7X3FxtNKhA
6fbYGoF5kuk,UCZCaRGGPtHFtp7X3FxtNKhA
u1380qlsOxY,UCZCaRGGPtHFtp7X3FxtNKhA
OaUF-OQZj2c,UCZCaRGGPtHFtp7X3FxtNKhA
Mxb3_clOKmY,UCZCaRGGPtHFtp7X3FxtNKhA
BklL7rvW3Jc,UCZCaRGGPtHFtp7X3FxtNKhA
ZDqcRtzveME,UCZCaRGGPtHFtp7X3FxtNKhA
XX1k2GoepP4,UCZCaRGGPtHFtp7X3FxtNKhA
GGFrfU9pagk,UCZCaRGGPtHFtp7X3FxtNKhA
5-hvc4FxFD4,UCZCaRGGPtHFtp7X3FxtNKhA
c3YOBzubIXk,UCg9L-f72npTy7NtJJm5u7wA
ejLB6s5HvyI,UCZCaRGGPtHFtp7X3FxtNKhA
SXm83naB7A4,UCZCaRGGPtHFtp7X3FxtNKhA
LYqBjx7Qkec,UCZCaRGGPtHFtp7X3FxtNKhA
Fm8Ah1s_XtQ,UCZCaRGGPtHFtp7X3FxtNKhA
aNiRI7cIay8,UC8md0UEGj7UbjcZtMjBVrgQ
qMnfMdYRpoU,UCZCaRGGPtHFtp7X3FxtNKhA
K9dj8JYUZtk,UCZCaRGGPtHFtp7X3FxtNKhA
Ajl5vAzMjH4,UCZCaRGGPtHFtp7X3FxtNKhA
YWTmZwImH9o,UCZCaRGGPtHFtp7X3FxtNKhA
zg5yfG6QGNE,UCZCaRGGPtHFtp7X3FxtNKhA
bC59f3kX6-0,UCZCaRGGPtHFtp7X3FxtNKhA
VFL2OFDxrVc,UCZCaRGGPtHFtp7X3FxtNKhA
UyuTxXK5Bn8,UCZCaRGGPtHFtp7X3FxtNKhA
cthwYXeKwyg,UCZCaRGGPtHFtp7X3FxtNKhA
lh5Jttawd1E,UCZCaRGGPtHFtp7X3FxtNKhA
QlOZR9yRTnA,UCZCaRGGPtHFtp7X3FxtNKhA
DTDaJKniGes,UCZCaRGGPtHFtp7X3FxtNKhA
8AsEtxuUlDo,UCZCaRGGPtHFtp7X3FxtNKhA
SuIYw5jybmg,UCuF8-WmBJvhV5rZj2aYSoYw
WJwwjN6BYrU,UCZCaRGGPtHFtp7X3FxtNKhA
bAb_oqmqyVA,UCZCaRGGPtHFtp7X3FxtNKhA
E_3v5vVqLjM,UCZCaRGGPtHFtp7X3FxtNKhA
JitL6exvNd0,UCZCaRGGPtHFtp7X3FxtNKhA
S07SqzxJpJg,UCMKDKhUdGfIIYKFkIJWoONg
fvzzV4YUMko,UCZCaRGGPtHFtp7X3FxtNKhA
VT5SWbMeGZY,UC7z3Odkn0pDTbZoLSbzmmHA
p824hbSmvCI,UCZCaRGGPtHFtp7X3FxtNKhA
vpG7gqSWjH8,UCZCaRGGPtHFtp7X3FxtNKhA
C-eWsbt2kxs,UCZCaRGGPtHFtp7X3FxtNKhA
11ypZudY-9A,UCZCaRGGPtHFtp7X3FxtNKhA
t-tWO5jBP5A,UCuF8-WmBJvhV5rZj2aYSoYw
N-uBWfutf44,UCZCaRGGPtHFtp7X3FxtNKhA
ubmo4e4PNrk,UCZCaRGGPtHFtp7X3FxtNKhA
q3CzyDGI-Ak,UCZCaRGGPtHFtp7X3FxtNKhA
7-wHjNAjMbY,UCZCaRGGPtHFtp7X3FxtNKhA
m7UKRFnexJE,UCZCaRGGPtHFtp7X3FxtNKhA
Q98fFXRlgwU,UCZCaRGGPtHFtp7X3FxtNKhA
j75X5O9pv_A,UCZCaRGGPtHFtp7X3FxtNKhA
ZYriJKQqSDk,UCZCaRGGPtHFtp7X3FxtNKhA
l4P6TKgijFo,UCZCaRGGPtHFtp7X3FxtNKhA
mXTPVcx10w0,UCZCaRGGPtHFtp7X3FxtNKhA
lKAnZtF610w,UC3LFSMGtE87P8tTvv0pLxTg
pWGNOsFuFkU,UCZCaRGGPtHFtp7X3FxtNKhA
dcfh-1f465Y,UCZCaRGGPtHFtp7X3FxtNKhA
gX-Netrek5g,UCZCaRGGPtHFtp7X3FxtNKhA
Hnjayaozb9M,UCZCaRGGPtHFtp7X3FxtNKhA
pnKUyrkMsf8,UCZCaRGGPtHFtp7X3FxtNKhA
1Zo4xpI4UmE,UCL2_yKyV43jlXhEVwleKxuQ
1wZJpVRe2rY,UCZCaRGGPtHFtp7X3FxtNKhA
Q3DyO8nlS3w,UCZCaRGGPtHFtp7X3FxtNKhA
tH3QxFG9DaA,UCZCaRGGPtHFtp7X3FxtNKhA
bGi_FhuJDq0,UCDsdXklhP9jFRpf6h_k_UTw
8Wfll2uooJA,UCZCaRGGPtHFtp7X3FxtNKhA
Y-eCVRvYnxw,UCZCaRGGPtHFtp7X3FxtNKhA
EGfmkl2hCvY,UC7z3Odkn0pDTbZoLSbzmmHA
SxK6pn-igTU,UCZCaRGGPtHFtp7X3FxtNKhA
8lP_PZai5h0,UCZCaRGGPtHFtp7X3FxtNKhA
VzFVPsP4Hr4,UCZCaRGGPtHFtp7X3FxtNKhA
-6UeKeyho18,UCZCaRGGPtHFtp7X3FxtNKhA
6C15YvjFTR0,UCZCaRGGPtHFtp7X3FxtNKhA
sAT-bwaWU5I,UCZCaRGGPtHFtp7X3FxtNKhA
fvCTNm9Lw20,UCZCaRGGPtHFtp7X3FxtNKhA
eyuGcQVK5OY,UCZCaRGGPtHFtp7X3FxtNKhA
pwfP0--pfBY,UCZCaRGGPtHFtp7X3FxtNKhA
cn1PZ2PwD4I,UCZCaRGGPtHFtp7X3FxtNKhA
ZrC4hdKjuVY,UCZCaRGGPtHFtp7X3FxtNKhA
A3LVGtlJdj4,UCZCaRGGPtHFtp7X3FxtNKhA
OgV1GGyRdb4,UCZCaRGGPtHFtp7X3FxtNKhA
m4Dwowg1ngQ,UCZCaRGGPtHFtp7X3FxtNKhA
Kyu3NdRwxrk,UCZCaRGGPtHFtp7X3FxtNKhA
ci-wNbFZrow,UCZCaRGGPtHFtp7X3FxtNKhA
-xOaI_PprGM,UC6K1qpxFNxfK85DSLz5ubwQ
_44_RujM8JY,UCZCaRGGPtHFtp7X3FxtNKhA
TiUW2VS3nVc,UCZCaRGGPtHFtp7X3FxtNKhA
9Bvj7W8vrRo,UCZCaRGGPtHFtp7X3FxtNKhA
o2f5Y4JfaNU,UCZCaRGGPtHFtp7X3FxtNKhA
Ysa5y6KcLd0,UCZCaRGGPtHFtp7X3FxtNKhA
tWe2R9KkXcY,UCZCaRGGPtHFtp7X3FxtNKhA
j0-I0Jq1i4U,UCDsdXklhP9jFRpf6h_k_UTw
EwxswOsLbAA,UCZCaRGGPtHFtp7X3FxtNKhA
lZ6n8jd2agQ,UCZCaRGGPtHFtp7X3FxtNKhA
7Kg6PEfqd_Q,UCZCaRGGPtHFtp7X3FxtNKhA
Hj2VOLVa-Pg,UCZCaRGGPtHFtp7X3FxtNKhA
tpt-amzZAnc,UCZCaRGGPtHFtp7X3FxtNKhA
PPVjqJvAo2g,UCZCaRGGPtHFtp7X3FxtNKhA
6xduGOoPquQ,UCDsdXklhP9jFRpf6h_k_UTw
xOHBJtde2-c,UC6K1qpxFNxfK85DSLz5ubwQ
c4atm5-inho,UCZCaRGGPtHFtp7X3FxtNKhA
ZjevzfhvwEo,UCZCaRGGPtHFtp7X3FxtNKhA
GQtNf4IKhXI,UCZCaRGGPtHFtp7X3FxtNKhA
xadoqncFr4w,UCZCaRGGPtHFtp7X3FxtNKhA
2p58i5nAJmM,UCZCaRGGPtHFtp7X3FxtNKhA
yfQR9_SbJx4,UCvp10wYf9I5YOOotB9ryTqQ
BxrDLfqh55U,UCZCaRGGPtHFtp7X3FxtNKhA
-rOArlZ9Lvs,UCZCaRGGPtHFtp7X3FxtNKhA
xlN3PBVbvUI,UCZCaRGGPtHFtp7X3FxtNKhA
LNCj0eeG0Aw,UCZCaRGGPtHFtp7X3FxtNKhA
OsSpPXtL9YY,UCZCaRGGPtHFtp7X3FxtNKhA
aHTSkZ_5gUM,UCZCaRGGPtHFtp7X3FxtNKhA
83AVO_aaDm4,UCSbUX_gKMur5FPcTbH2L5mA
15puQuoAeqc,UCZCaRGGPtHFtp7X3FxtNKhA
UF-8bV8lfJM,UCZCaRGGPtHFtp7X3FxtNKhA
TvYtisAq6k0,UCx1Kkf5xc0VkK0EuXdtljkA
CVpNNVeBBrA,UCZCaRGGPtHFtp7X3FxtNKhA
Gl32xLJ0lXE,UCZCaRGGPtHFtp7X3FxtNKhA
ANf3eVzGuJc,UCZCaRGGPtHFtp7X3FxtNKhA
4rBEdrA1r_M,UCZCaRGGPtHFtp7X3FxtNKhA
AUScmPg0wr4,UCZCaRGGPtHFtp7X3FxtNKhA
PN38w0abbfw,UCZCaRGGPtHFtp7X3FxtNKhA
rpW9Q2540w4,UCAXxuSl8n8cXU62ZIzFL0qg
JoCgvMFAtXE,UCZCaRGGPtHFtp7X3FxtNKhA
oRxSaYziMzY,UC0vBj3LpGg3bZMteU7vbIRw
F5gARd73FPQ,UCZCaRGGPtHFtp7X3FxtNKhA
U0ytk-MutP4,UCtuuSv_4r6op5RHDs9HzsqA
K7lVEErc5og,UCZCaRGGPtHFtp7X3FxtNKhA
3OijDt7vUVk,UCZCaRGGPtHFtp7X3FxtNKhA
rhbKLuevJqQ,UCzh5hQc_O3r3xjh9sXrM7-A
hN3wxNhrF_k,UCZCaRGGPtHFtp7X3FxtNKhA
AkPyKULwOEI,UCZCaRGGPtHFtp7X3FxtNKhA
4dTQrRrwyWk,UCF1wPTEdK3RZclxruliajcg
IDn5Dr4jFGw,UCZCaRGGPtHFtp7X3FxtNKhA
rI_xK39SaQE,UCZCaRGGPtHFtp7X3FxtNKhA
Bn5kl1mAqFo,UCZCaRGGPtHFtp7X3FxtNKhA
8rlcLQ5kXfg,UCZCaRGGPtHFtp7X3FxtNKhA
4QGngqooqX4,UCZCaRGGPtHFtp7X3FxtNKhA
_iVbhergGGA,UCZCaRGGPtHFtp7X3FxtNKhA
wJL8P0NVIUA,UCZCaRGGPtHFtp7X3FxtNKhA
Zb14y6V93f4,UCZCaRGGPtHFtp7X3FxtNKhA
lzy0KCpEDgE,UCZCaRGGPtHFtp7X3FxtNKhA
okt7nqOYF5w,UCZCaRGGPtHFtp7X3FxtNKhA
U3CM9PcVZUM,UCZCaRGGPtHFtp7X3FxtNKhA
fUavAorDcZg,UCZCaRGGPtHFtp7X3FxtNKhA
xwsJr3f5pks,UCZCaRGGPtHFtp7X3FxtNKhA
I_kwsRdDhDY,UCZCaRGGPtHFtp7X3FxtNKhA
i3hLusPU6lU,UCcl_bt1Dt9R8ocO5AnNaW1w
Qys7KPGxRdk,UCZCaRGGPtHFtp7X3FxtNKhA
mCsYrpQ2w3M,UCZCaRGGPtHFtp7X3FxtNKhA
xX3NOBiSie8,UCZCaRGGPtHFtp7X3FxtNKhA
zF9qdiUG0Tc,UCZCaRGGPtHFtp7X3FxtNKhA
UrqEhhp2jMw,UCZCaRGGPtHFtp7X3FxtNKhA
mHCfwoJSP50,UCIuzghRI32nbHq-C-A8jwZA
9yNi_YjeyDM,UCPdY_wN8ZU8qs7DNrLb9z8w
lzOP3MTjDOo,UC2kNmBUAKgkFyLxkkwRxL-A
HBpwya-G-6E,UCZCaRGGPtHFtp7X3FxtNKhA
6IQ_VifOe74,UCZCaRGGPtHFtp7X3FxtNKhA
xCARO_p1698,UCZCaRGGPtHFtp7X3FxtNKhA
cnKXg_cBczI,UCZCaRGGPtHFtp7X3FxtNKhA
pXDe-lonyLI,UCZCaRGGPtHFtp7X3FxtNKhA
k6hnefjjI5A,UCZCaRGGPtHFtp7X3FxtNKhA
F6wtGH2RuKA,UCZCaRGGPtHFtp7X3FxtNKhA
pI338_dytzE,UCZCaRGGPtHFtp7X3FxtNKhA
pXoJ-jF8d50,UCZCaRGGPtHFtp7X3FxtNKhA
ZofHBgo6Sc4,UCH0BSvA8oO6PSm-U00D1_Hg
Y0gzpgopALE,UCZCaRGGPtHFtp7X3FxtNKhA
