videoId,dislikes/view
pha37bMwWR0,0.0012099025306842634
XDUxYxHU3CY,0.001761955870561853
Spfaub0sVk0,0.0003673696056272445
eiGdsH1g20k,0.0003426544001506678
xYcL5_iSZJE,0.00041931343390589964
AOfMnx6fc6A,0.0013855407262309632
2LZ0r2VFts4,0.0005668535616452614
5nyFfZnsyNY,0.00022673477466920666
J4556Pbl70Y,0.0005629534350208538
tNVBhBNj1oY,0.00029294318746782896
un0eSCZI0ws,0.0002354907474389966
NjRRDE7gK4E,0.001134682010008132
kN1D8p2Fc6U,0.0008707719422184957
jK0K-2Gz780,0.00047341230624536374
EDlycV2GYRg,0.0004539677503664245
pMmCvixJS8c,0.0003294233543611792
Rw9EiwUn4Yg,0.0002350576669107232
i0OVzsMhT2I,0.0007448534283821144
7-iBeFQUIVs,0.00031837023690114763
ZDsLYwBIrpA,0.0003462328664929971
xiNbVgBilSw,0.0003175072265382776
kfrB0-7uXjs,0.0003374598156403744
yHA9lxVhNdo,0.0004530005215170752
aWZua5HYfnY,0.0006596747904771377
rUNUnLIxVI0,0.0004494935500754287
mdtpZz3Fk1c,0.002301134877882956
QfpgUe7jsr0,0.0004691359495106495
9ZsRQNUQ8Vo,0.0002373836989378676
lGkqNVrgFWE,0.0003983173486181261
8uzXFv9f_qc,0.0005906604377306912
eq8gmDFagRk,0.0006139744033206503
qPweDwkDw6w,0.00042620284894179743
sLaOUarJibo,0.000742518277757875
aSMxY_O0NTA,0.0003862889106756262
UMsA3T4xsU8,0.00022312205458341835
rRSBpIZiid4,0.0002795204671097584
6mc7cU5mN80,0.00048703289794100593
IKZ41mDtayc,0.00037309424916554034
QGug_eltOnE,0.00024600847891348713
NNqhURzgEOY,0.00028786682710362746
I9p-FyeoHo0,0.0006241691895397064
7Nn45WvKONM,0.0006705182533624615
W21StuboNl8,0.00038047803782933695
xjMk6UrkJ9g,0.000662134050433812
EiBe_-FwYZ8,0.0007545384927248975
TQfGgJulCAc,0.0003581209184748262
AExTAC1d1zA,0.00021103601479957357
GGmrutEnsnY,0.0008143966716771452
tRLConvNTYg,0.0004043818453728532
8uN4r87e618,0.0008359722271448982
679fwkCUfEE,0.0002925388546328904
jpiF8AwkBTo,0.000286138754487765
np0-bHANnEg,0.0002537269454147
dyqmCzbemys,0.0009235209235209235
Lqe6tajM9w8,0.00043851623771996797
a70Y6VVvgrI,0.0005310003644593411
6WAxPPRwMcA,0.0003640701707786536
_pHImgDOWuY,0.0008564176139498952
eqKaPXvwb2E,0.00034559696178495137
okin5POLNaA,0.0004366161863676461
Yy_A2L-Z0Hs,0.0008228265309911984
yBNd9etHb74,0.0007586259154100904
QCp_buQwPHY,0.00020383127942410006
QL1-vAVjDYk,0.00047090775683637597
gNMnXQL0GDU,0.0005117756337268532
FKQAR8S7a-8,0.0009006358273649764
OnJJHosJVBM,0.0004992730180041899
2ZTxgXa5_ZI,0.0005747341854392343
ARn-f3se_Q8,0.0007104247104247105
7DGyFX0YHdU,0.0016520866469741725
IhOFcMaLUFM,0.0005534591194968553
EPIBoE0sfyM,0.0004640089921113913
8R-7JLYWWlM,0.0009419569589237419
dT_cuB3w_Vc,0.0004357888412670878
0sGQYeKu19Q,0.00016237738967957014
zyG7EqG_5-A,0.0005014831363758315
wZywsWFpM0s,0.0007948226063715136
LHhYxKaYcdU,0.0005617188597107148
Z-gylDndHOI,0.0003513560994067487
lVIUzKiZfms,0.0002475894612020575
ihB_XI9fvqU,0.0003793370677477385
McSpmnIRA2M,0.00027785985453596205
9azxsHKau8k,0.0004972704768878519
sYVkTWzmCWo,0.0002799699329259912
yvoz3xUngrU,0.0006053413885692367
GXYTOMriw50,0.0006270134699790275
nxzMkpNxau4,0.00026956499708646854
X610M7Wse6I,0.0005334176264891243
3w0YrNV0CfI,0.0004235762543151831
mYIMXl7OIBw,0.00034502673957231687
SC_2Rd0rDG8,0.000555652022920646
dlOHKcqSyrA,0.0003292406886617738
S-M1_WpmyJA,0.0004931241742496139
